"Raf"	"Mek"	"PLCg"	"PIP2"	"PIP3"	"Erk"	"Akt"	"PKA"	"PKC"	"p38"	"JNK"	"experiment"
250	346	319	583	7.7	67.3	316	9.91	176	939	255	4
88.2	150	204	418	4.87	54.7	274	16.3	56.7	286	108	4
396	673	297	610	11.2	4.33	20.9	3.65	1018	5186	1554	4
441	770	231	375	5.38	25.5	154	10.3	59.9	349	92.2	4
167	313	193	368	12.6	55.2	274	17.2	50.9	279	150	4
98.2	193	115	225	4.57	93.1	791	36.5	69.8	453	139	4
311	519	205	359	4.7	75	466	12.6	102	615	233	4
1370	1911	22.1	54.7	57.8	104	538	19.3	1094	5328	1407	4
84.3	119	316	567	23.3	36.8	211	8.35	221	1197	1124	4
483	770	133	267	9.73	77.7	557	12.4	161	874	557	4
65.5	95.6	289	466	12.6	1.79	44.9	63.2	150	956	644	4
835	1322	91.4	181	4.91	59.4	429	5.28	126	820	207	4
334	573	1827	2943	68.5	65.5	491	2.89	70.4	457	154	4
813	1230	368	638	22.1	60.4	379	15.3	19.3	112	119	4
233	375	355	632	4.26	75.7	491	14.7	89	478	141	4
233	289	340	667	16.4	18.4	133	17.5	108	704	302	4
125	205	168	286	10.6	139	820	14.5	62.6	372	131	4
698	956	1334	2148	170	21.9	153	9.14	69.2	349	195	4
359	588	229	433	4.74	5.38	25.3	70.4	466	2525	914	4
441	723	150	274	11.5	33.4	217	6.67	64.4	337	229	4
97.3	136	403	757	5.57	3.08	35.2	103	528	2864	638	4
1715	2350	118	195	5.99	37.2	241	4.87	129	685	250	4
196	297	274	547	6.92	62.1	279	15.4	77.7	514	113	4
241	396	181	305	6.04	110	610	9.39	59.9	359	163	4
389	578	188	355	14.3	50	271	8.66	956	4914	1670	4
257	461	799	1370	56.2	7.43	17	1.19	66.1	461	255	4
2129	3278	483	965	17	73	396	13.9	85.8	599	209	4
173	235	115	195	5.83	62.1	365	7.7	45.3	279	75.7	4
866	1165	710	1055	33.7	44.9	264	8.66	186	1037	1037	4
225	334	189	337	7.37	158	1144	40.7	135	764	151	4
271	414	217	414	10.4	50	289	9.06	470	2788	1446	4
418	638	1611	2788	77	61	375	7.04	123	737	445	4
334	496	151	253	14.7	115	750	17.2	138	890	255	4
365	573	346	615	8.13	38.9	227	4.41	679	3460	835	4
195	337	179	319	10.6	77	478	17.5	46.6	90.6	500	4
150	267	132	255	6.67	8.06	67.3	1.06	50.9	281	202	4
389	626	1298	1911	33.4	67.3	519	30	50.9	294	189	4
375	547	281	414	5.19	50.5	294	7.84	225	1263	604	4
221	328	239	453	8.06	9.39	24.1	1.72	5.47	38.2	322	4
1186	1860	158	284	3.96	92.2	562	22.7	42.9	259	237	4
1382	1877	1075	1981	83.5	45.7	311	6.73	50	267	244	4
39.2	8.9	4.26	9.22	1.88	25.9	46.6	223	3.02	31.6	65.5	5
42.6	20.2	12.1	1.45	40	30.2	51.9	264	5.94	14.1	16.1	5
5.88	17.9	3.43	2.19	18.1	105	300	1928	6.98	20.5	12.9	5
34.3	18.8	3.65	1.7	16.5	352	519	1263	18.3	59.4	35.9	5
24.6	16	6.92	9.39	8.06	15.7	53.8	346	9.31	18.1	12.5	5
36.2	15.7	1	65.5	31.3	30.5	66.1	874	11.4	26.2	8.66	5
2.81	10.3	4.37	1	6.26	30.5	105	483	17.2	32.8	6.44	5
45.3	13.9	6.79	12.2	13.6	26.9	39.6	578	15.7	41	37.2	5
15.3	25.7	3.37	3.52	11.9	9.65	17.5	382	9.22	25.9	14.2	5
40.3	17.9	2.81	2.17	1	49.1	77	1568	17.5	32.2	5.23	5
64.9	54.2	1	21.5	7.7	1	1.55	50.9	12.7	37.9	2.67	5
30	22.1	4.87	1.12	9.22	3.92	46.6	173	17.2	25	10.6	5
30.5	22.5	13.2	1.01	21.9	22.3	36.8	223	12	26.2	25	5
25	34	2.29	1.01	15.1	7.3	16.1	276	13.6	38.5	60.4	5
28.4	19.8	10.2	4.57	30.8	6.38	18.1	973	21.9	47.8	18.9	5
65.5	56.7	1	2.41	2.05	126	204	2207	12.1	20.4	23.9	5
35.2	18.6	3.22	2.81	26.4	25.5	172	200	27.1	40.3	15.1	5
34.3	20.5	8.51	1	30.2	40.3	130	890	22.1	76.4	51.4	5
61	38.9	3.46	5.19	26.2	12	24.6	487	14.7	21.3	13.8	5
48.7	20.4	1.19	2.5	11.8	12.6	24.4	316	24.4	37.5	21.1	5
35.5	13.8	8.28	7.99	17.2	45.3	77	1526	42.2	110	34.9	5
31.9	44.1	5.42	1.31	6.32	13.8	13.3	349	12.7	23.3	9.39	5
42.6	25.5	7.3	1	21.5	33.7	49.6	396	59.4	85.1	19.6	5
78.4	21.9	9.31	4.66	44.9	10.7	26.4	866	17.2	21.9	7.84	5
44.1	24.1	5.38	132	16.5	18.1	37.5	1219	3.05	17.6	63.8	5
47.4	19.3	1	1.68	10.2	10.2	38.2	661	21.1	45.7	21.7	5
105	41.4	2.69	3.82	9.56	28.6	59.9	362	17	25.5	12	5
56.2	38.9	12	9.39	11.7	66.1	125	638	13.2	50	6.67	5
72.3	24.4	5.28	179	35.2	22.1	42.6	196	26.9	38.9	20.7	5
45.7	13.1	1.91	6.79	6.32	29.7	49.1	382	16.7	39.2	22.9	5
56.7	25.5	1.84	1	25.7	6.98	31.9	851	8.51	20.5	160	5
79.1	48.7	3.75	4.14	24.1	27.1	44.1	221	31.9	38.5	21.1	5
15.4	23.9	1.86	6.26	32.8	41.4	68.5	331	5.99	5.05	44.5	5
21.7	10.6	7.57	2.46	16.1	29.4	64.4	1155	30.2	77	28.1	5
36.8	22.5	9.65	1.43	3.13	15.1	58.3	75.7	13.2	26.2	12.4	5
52.8	17.5	5.94	179	14.6	11.5	22.1	457	13.9	39.2	18.4	5
30.8	11.1	2.86	1.06	18.6	24.6	44.1	500	19.1	37.9	21.3	5
21.1	20.7	22.9	4.66	13.1	10.3	22.1	334	20.9	32.2	15.7	5
26.4	24.1	9.39	3.31	24.8	14.5	41.8	906	13.1	30.8	10.3	5
36.8	25.9	10.2	1.96	35.9	46.6	111	947	23.1	50	35.5	5
20.2	15.8	9.06	4.45	9.91	19.5	110	1358	16.5	35.9	17.8	5
48.7	42.6	3.52	6.73	7.37	11.8	23.7	175	49.6	85.1	11.3	5
43.7	8.82	8.82	2.74	6.85	20.5	27.6	281	13	24.1	18.1	5
37.2	24.4	2.69	3	19.5	21.7	41	349	8.35	24.4	9.82	5
69.2	26.9	15.4	3.22	20.2	25	83.5	644	15.8	26.4	8.9	5
40	25.9	5.42	4.18	8.13	13	29.4	250	2.23	21.3	37.9	5
30.5	15.4	2.64	147	47.8	61	131	1778	21.9	44.1	18.9	5
40.7	14.5	2.37	1	26.4	23.3	54.7	813	15.5	21.9	16.5	5
56.7	31.6	9.31	2.89	25.7	49.1	104	698	3.4	4.45	1	5
86.6	125	8.28	10.6	47	73.7	170	3134	21.1	63.2	25.7	5
27.6	17.8	5.94	6.21	32.8	57.8	110	1084	6.15	27.4	93.1	5
63.8	23.7	20.9	17.5	12.1	34	52.3	355	26.7	51.4	33.4	5
31.9	20.5	1.79	165	72.3	17.2	33.1	723	15.5	37.2	79.1	5
48.3	18.3	2.31	2.09	18.3	16	24.8	392	24.8	57.3	23.5	5
43.3	15.1	1	1.32	6.1	44.9	78.4	1685	10	34.6	14.2	5
23.9	18.1	6.1	7.23	17.2	10	41.8	5.67	19.6	28.1	9.14	5
26.7	19.5	1	1.12	11.2	41.4	71.7	791	19.8	36.5	26.2	5
59.4	17.6	3.65	4.78	26.9	49.6	113	882	12.4	30.5	8.58	5
8.13	24.4	12.4	1.03	21.7	28.6	193	62.1	11.2	40	108	5
56.7	26.9	1.01	2.69	15.7	12.2	28.6	259	15.3	35.2	4.7	5
73	30.2	6.49	3.46	1	13.3	78.4	757	6.73	38.5	27.4	5
40.7	16.7	1.45	5.19	4.07	17.3	63.8	2054	3.13	18.6	65.5	5
46.6	15	6.04	4.03	3.25	2.5	2.39	36.2	18.1	43.3	8.82	5
47.8	24.4	1.32	1	3.65	12.9	24.1	474	15.4	24.1	10.5	5
20	21.5	3.37	1	21.7	16.1	38.2	615	20	39.2	50.9	5
24.4	17.3	1.06	40.7	13.8	14.5	26.2	286	14.9	29.7	12.2	5
19.8	16.4	3.25	6.98	16	46.1	95.6	487	2.71	92.2	5.52	5
64.9	32.8	4.91	1.09	1.58	14.2	23.5	429	12.1	43.3	7.3	5
53.8	38.5	1.45	255	52.3	28.9	61.5	422	10.9	26.9	5.83	5
75.7	31.1	5.23	1.01	18.1	10.8	32.2	483	2.74	12	54.7	5
87.4	44.1	1	1	13.8	13.1	32.8	235	38.2	75.7	34.3	5
41.4	21.9	20.7	2.55	18.8	10	26.7	414	3.46	19.1	30	5
44.5	25.9	13.1	6.67	17.6	86.6	165	1928	14.5	32.5	19.6	5
46.1	18.8	2.57	1.98	14.5	44.5	109	567	24.4	34	14.2	5
54.7	26.9	4.33	2.71	11.1	20.5	85.1	1322	17	35.9	15.1	5
119	39.2	1	6.26	21.7	55.7	149	1346	12.5	36.8	5.73	5
11.7	30.8	2.84	6.32	10.6	66.1	86.6	922	1.51	21.7	80.6	5
75.7	51.9	7.23	167	19.1	30	93.1	1860	1.78	30.5	39.6	5
57.3	22.5	2.11	2.55	7.64	26.9	48.3	313	21.3	52.8	20.4	5
16.4	21.5	5.52	3.85	22.7	12.2	69.8	1582	2.48	17.6	96.5	5
57.3	29.4	5.09	4.22	17.6	8.74	34.3	649	9.82	26.9	16.5	5
56.7	34	1	7.64	10.6	29.2	88.2	1611	5.57	34	106	5
89	58.8	4.96	1	11.2	14.3	28.1	319	2.39	19.1	70.4	5
47.4	25.7	6.49	1.95	1	60.4	176	1252	37.5	91.4	39.6	5
51.9	13.1	9.14	1.79	4.91	30.2	74.3	698	22.5	76.4	39.2	5
27.4	10.9	2.86	4.1	5.88	68.5	129	1459	20.2	35.9	8.9	5
83.5	33.7	1.42	1.01	12.5	74.3	119	466	11.9	31.9	6.1	5
13.8	12.4	13.9	7.3	12.9	5.42	16.1	588	15.3	42.2	10.7	5
59.9	20.5	6.92	1	18.1	15	28.6	313	23.5	66.1	18.1	5
56.2	20.9	8.43	2.86	1.93	25	54.7	1155	9.56	46.6	73.7	5
108	27.9	10.9	7.57	7.7	42.2	120	922	25.3	50.9	10.9	5
29.7	23.9	12.2	77	31.6	82.8	164	1827	20.5	30.8	17.3	5
62.1	17.3	5	1.01	2.07	17.8	36.5	271	13	27.9	7.1	5
47	20.4	6.98	3.85	12.4	8.98	20.2	474	44.5	129	44.1	5
88.2	84.3	4.87	1.01	6.79	28.9	40	956	31.1	66.1	26.9	5
38.2	20.4	15.1	4.91	19.8	45.7	138	2227	16.7	43.7	73	5
38.2	22.5	2.62	1	16.5	32.8	82.8	1165	3.49	20.9	44.5	5
61	31.1	1.89	1	28.9	50.9	82	538	7.5	18.8	10.4	5
20.9	15.8	1.04	1.3	17.9	16.4	24.4	262	25.5	53.8	28.6	5
52.8	26.9	17	1.15	35.9	8.74	31.1	717	15.7	28.1	21.9	5
64.4	19.8	6.61	1.42	10.7	28.4	40	334	3.02	21.5	62.1	5
48.7	18.3	6.79	1.01	13.5	11.5	22.9	359	21.3	42.6	29.7	5
58.3	15.5	5.94	1.25	2.97	25	52.3	365	2.09	24.8	74.3	5
62.6	16.3	5.28	2.64	1	23.7	44.9	173	20.7	31.9	21.1	5
62.1	24.8	2.86	1.01	12.1	74.3	145	730	16.1	35.9	5.83	5
29.4	38.9	3.92	1.19	4.22	5.78	30	914	37.5	66.7	19.5	5
139	50	1	2.59	11.4	18.4	44.1	292	17.5	47.4	118	5
173	164	7.57	1	3.52	14.3	26.7	491	1.18	704	77	5
21.7	20	7.04	1	1.88	27.6	52.3	346	14.7	35.5	17.3	5
71.7	30.5	1	2.74	11.9	53.3	151	1176	25.5	45.7	17.8	5
70.4	33.4	4.57	2.74	7.23	11.8	14.1	359	46.6	84.3	36.2	5
19.3	32.5	10.4	3.28	14.9	14.6	19.1	491	17.2	23.5	10.8	5
58.3	33.7	9.47	4.41	14.3	7.04	28.4	478	17.9	35.9	12.2	5
77	24.1	8.9	1.01	18.3	16.7	63.2	1252	15.3	33.4	6.92	5
75	24.1	1	2.09	15.8	68.5	132	2288	5.94	33.1	138	5
34.6	19.8	1	6.92	17.8	16.7	31.3	294	25.5	83.5	30	5
82	33.7	1.32	3.16	12.9	41.4	93.1	757	27.4	79.1	38.9	5
55.2	27.4	3.46	2.59	18.3	19.6	32.5	213	25.7	67.3	66.7	5
93.1	62.6	1.06	6.98	2.02	6.32	37.2	500	1.93	19.1	57.8	5
151	153	9.73	1.01	21.9	67.9	132	2571	90.6	114	25.5	5
93.1	66.1	2.44	6.21	2.5	66.1	129	1877	4.37	20.9	57.8	5
54.2	25.3	8.58	3.02	27.6	18.6	34.9	274	3.92	18.9	85.8	5
113	57.8	11.7	3.62	20	44.5	76.4	509	4.53	23.9	160	5
42.9	36.8	5.57	3.59	8.82	26.4	102	1446	17.6	30.2	15.8	5
26.4	14.1	10.7	5.99	5.62	8.06	17.5	392	16.3	45.7	15.5	5
138	176	14.2	1	7.3	38.2	58.8	246	63.2	87.4	16.5	5
48.3	26.4	2.67	6.49	18.3	90.6	248	914	5.88	51.9	119	5
54.2	19.1	5.42	2.11	29.7	104	346	2813	14.1	17.3	2.41	5
77	51.9	1.33	3.4	17.3	53.8	91.4	813	18.6	27.6	10.8	5
10.6	24.6	2.21	8.2	10	15	50.5	562	17.2	48.7	10.2	5
78.4	39.6	6.1	1.01	12.9	16.7	48.7	123	18.3	37.2	6.26	5
60.4	29.7	10.5	1	1	27.6	50.9	626	37.5	79.9	44.5	5
24.8	33.4	1.33	1.55	2.25	41.8	122	698	16.7	44.1	95.6	5
54.2	10.5	2.11	1.01	22.9	6.04	19.6	422	10.4	23.9	3.75	5
103	30	3.28	4.45	8.2	50	80.6	1382	1.73	19.1	79.9	5
16.8	23.9	5.99	4.91	14.3	6.98	52.3	547	1.25	10	46.1	5
84.3	40.3	6.79	1.01	17.6	19.6	37.5	246	13.7	35.5	78.4	5
56.7	38.2	2.11	2.53	12.9	16.7	38.5	523	30	69.2	42.9	5
49.1	29.2	2.53	1.42	5.73	18.6	48.7	1165	27.9	40.7	21.9	5
2.15	12.3	3.75	1.81	16.7	25.3	82	1000	19.1	39.2	10.9	5
139	48.7	6.04	1	31.3	11.5	34.3	87.4	12.7	29.7	14.2	5
48.3	23.9	6.26	6.04	10.6	18.3	44.5	710	2.69	19.1	47.4	5
10.1	16.3	5.38	1.23	21.1	13.5	34.6	289	26.2	51.4	22.7	5
82	62.1	3.96	1.08	13.6	2.59	30.2	27.9	2.39	17.8	84.3	5
12	17.2	4.83	3.85	2.29	5.83	23.5	931	55.7	99.1	26.4	5
28.1	17.6	1.63	1.01	17.2	19.1	28.1	221	42.2	114	73.7	5
87.4	20.5	4.18	1.03	1.36	59.4	161	1084	17.8	35.5	14.1	5
91.4	32.5	4.57	1	9.73	17.2	36.2	305	24.1	62.6	31.3	5
10.6	1.58	6.85	4.26	12	25.9	61	898	32.2	75.7	40.3	5
102	33.7	6.15	1.72	16.8	113	331	3078	12.6	31.3	13.6	5
33.4	17.9	5.83	1	13.1	6.67	40	313	5.57	28.6	67.9	5
55.7	40.3	15	1.02	21.7	69.2	130	1395	23.7	34.9	8.43	5
90.6	37.2	2.69	1.24	4.91	8.82	22.7	519	11.9	18.3	14.1	5
74.3	26.4	6.49	1.35	14.7	11	31.6	965	18.8	33.4	15.5	5
46.1	48.3	3.43	1.68	12	32.8	95.6	552	2.76	33.4	99.1	5
153	119	2.89	1	22.5	13.7	20.7	453	10.6	25.3	14.2	5
19.8	15.4	3.96	7.1	4.37	19.5	36.5	474	18.4	38.2	7.91	5
40.3	23.7	8.06	1	16.5	7.43	31.3	1094	13.6	30.2	11	5
31.6	16.4	1	2.25	1.01	21.3	47.4	1075	22.9	61	21.7	5
15	21.1	5.23	3.55	12.6	46.1	109	2548	2.25	5.42	5.83	5
77.7	21.1	14.3	2.84	28.4	27.4	44.1	205	12.1	23.3	12.2	5
58.3	23.5	5.28	9.73	29.2	20.4	44.9	649	10.1	22.7	14.5	5
50.5	24.4	4.18	1.19	12.3	17.3	45.3	1407	13.7	35.9	12.9	5
123	68.5	1.73	1.33	5.67	18.1	36.2	382	9.91	18.9	9.91	5
55.2	16.7	1	1	8.28	30.2	111	1407	4.74	12.6	76.4	5
82.8	27.6	1	2.17	15	5.52	22.3	487	16.1	39.6	6.79	5
46.6	9.31	1	5.73	19.1	23.9	40	308	12.2	28.9	4.29	5
66.1	71.7	5.09	2.44	21.1	43.3	108	1911	38.2	84.3	27.4	5
51.4	24.8	18.8	9.82	25.7	24.1	47.8	1114	3.28	18.9	56.7	5
61	22.7	4.18	5	1.61	12.7	22.9	221	16.1	30.5	13.8	5
95.6	43.3	1	1.93	16.3	9.06	37.9	578	16.8	34.6	21.1	5
42.9	26.9	1.01	1.23	11.5	26.2	34	340	13.9	26.2	12.1	5
86.6	53.8	1	4.37	20.2	45.3	130	1000	32.5	59.4	17.6	5
73.7	34.6	3.11	158	32.5	25.3	44.9	264	2.53	15.8	64.9	5
106	46.6	2.57	2.97	22.5	10.1	37.5	610	1	55.2	4	5
18.8	25.7	5.47	3.92	31.9	10.2	15.7	352	11.9	40.7	33.7	5
27.6	34.6	1	1.01	12.2	5.88	16.1	385	14.9	23.7	15.8	5
63.2	71.7	8.43	1.96	34.6	73	179	1625	15.5	29.4	10.9	5
47.8	34	7.57	2.84	24.4	21.5	42.9	257	11.5	33.1	9.47	5
74.3	24.4	2.21	1.98	16	67.9	121	227	7.5	18.9	83.5	5
93.9	40.3	5.14	2.81	33.4	18.8	39.6	241	22.5	35.2	15.8	5
62.1	20.2	7.77	1	11.8	31.9	47.4	235	27.1	73.7	18.8	5
89.8	42.9	8.06	1	9.39	20	28.4	400	28.1	63.8	24.4	5
55.7	62.6	2.19	5.52	34.6	11	78.4	2763	48.3	102	41.8	5
90.6	31.6	18.4	5.14	29.7	27.6	48.7	193	38.9	85.8	57.8	5
13.1	31.1	11	1	21.9	11.5	27.1	400	2.46	23.9	68.5	5
66.7	23.7	3.28	1	20.4	9.22	53.3	828	13.8	52.8	130	5
15.8	25.7	1.27	3.08	16.7	37.2	61	414	19.6	31.3	12.3	5
17.2	37.2	14.1	3.31	28.9	13.5	31.6	491	26.4	77.7	29.7	5
90.6	45.3	12	1.01	30.5	28.1	48.3	229	1.45	48.7	3.89	5
14.1	11.5	3.19	1	20.9	12.4	126	189	23.3	34.3	17.6	5
85.8	21.3	1.57	1.41	5.05	63.2	181	1731	23.7	50.5	150	5
61	17.6	1.6	1.05	4.78	34.6	66.1	410	44.1	121	90.6	5
132	172	2.15	2.25	8.66	16.4	33.1	426	38.2	64.9	21.9	5
62.6	37.9	1.18	1.95	14.5	17.3	32.8	372	1.02	26.7	52.8	5
44.1	40.3	1.54	1	20.2	70.4	126	615	31.1	74.3	40	5
107	129	15.8	1.03	10.9	49.6	99.1	1298	28.4	50.9	31.1	5
54.2	14.9	9.39	1	13.5	35.2	101	813	13.2	40.3	21.5	5
33.1	26.4	2.17	1	14.6	21.7	41	947	7.04	27.1	9.39	5
23.5	18.6	4.91	2	6.55	23.5	66.1	2187	19.5	31.1	6.38	5
57.3	28.9	1.01	5.52	5.88	19.5	34.3	215	3	16.1	68.5	5
61	19.6	2.74	1.06	12.3	12.4	26.9	300	4.57	10.4	69.8	5
38.9	17.9	2	3.19	25.7	4.53	28.1	685	27.6	56.2	21.5	5
97.3	47	1	2.15	26.7	38.2	137	2017	17.8	37.2	22.7	5
118	104	16.8	2.13	16.5	27.6	38.9	403	30	51.9	17.5	5
53.3	28.9	4.45	3.43	18.3	9.06	21.7	470	13.2	27.6	8.2	5
445	89.8	1.01	3.62	14.1	12.1	34.6	931	22.3	45.3	11	5
38.2	15.4	6.1	3.68	29.7	10.5	31.3	604	32.8	85.1	27.1	5
56.7	25.9	1.83	3.96	21.7	13.5	26.2	698	22.3	53.8	4.26	5
75	54.2	11.2	2.09	12	17.3	34.6	519	5.78	37.5	154	5
19.6	27.4	5.88	1	29.4	42.6	89.8	1275	40	93.1	51.9	5
59.4	30.5	4.7	1.53	12.9	29.2	75.7	267	15	24.4	4.57	5
72.3	15.1	7.43	5.83	31.1	20.2	33.7	302	34.9	73.7	35.2	5
49.6	25	3.85	1.1	17.2	4.26	6.98	181	3.89	20.9	90.6	5
85.8	37.5	1	1.01	9.14	45.7	70.4	225	28.9	73	50	5
46.6	17.3	6.98	1.18	2.81	117	223	528	25.7	36.8	29.7	5
67.9	35.5	5.47	1.89	14.1	18.1	131	129	19.1	47.4	18.9	5
28.9	22.9	1.31	1	6.73	11.8	30.8	496	14.3	37.2	9.56	5
96.5	60.4	1.76	1.14	9.14	31.3	158	1084	36.2	67.3	33.1	5
77.7	26.4	2.46	5	10.1	46.6	65.5	292	15.4	42.2	22.1	5
40.7	19.1	1.55	3.96	4.03	27.9	46.1	281	23.7	30.8	27.4	5
73	43.7	3.59	1	18.8	131	231	1186	9.14	18.1	11.7	5
37.9	21.3	5.28	1.01	18.9	37.2	56.2	292	3.46	9.82	59.9	5
88.2	45.3	11.1	1	17.8	37.5	75	1186	37.5	64.4	14.9	5
15.4	23.7	4.91	1	2.25	34.3	62.6	1778	19.3	51.4	21.9	5
72.3	50	5.28	1.01	25	34.3	90.6	1322	33.4	65.5	27.6	5
85.1	23.5	8.74	1.01	18.6	8.28	23.3	717	4.18	9.73	4.14	5
18.3	14.2	3.85	7.99	18.4	50.9	105	1009	37.9	56.2	23.1	5
62.6	25.5	7.1	1.06	3.34	21.7	34	300	7.43	38.9	54.7	5
8.2	17.9	1.03	1.55	21.7	41.8	106	1747	29.2	51.9	16.7	5
88.2	29.7	13.8	3.25	13.2	31.6	58.8	667	22.3	45.7	13.8	5
10.8	23.5	7.37	10.1	12.2	19.1	43.3	1018	15.1	23.9	18.3	5
54.7	24.6	6.92	1.15	17.8	47	95.6	1877	1	1	7.7	5
57.3	23.7	7.1	9.65	9.22	44.9	126	1186	3.49	18.4	77.7	5
28.1	44.1	1.08	3.62	9.65	43.7	87.4	552	12.7	25.5	6.73	5
21.1	15.8	7.43	2.48	21.5	13.8	36.2	784	25.3	45.3	82	5
78.4	57.8	5.57	1	2.89	5.38	17.8	704	18.8	29.2	8.9	5
6.98	28.4	9.73	1	6.85	34.6	66.1	355	23.3	42.6	22.9	5
65.5	22.5	1	1.01	11.5	61	95.6	956	14.9	30	21.1	5
58.3	24.6	4	4.96	24.1	5.94	34.3	874	4.14	16.8	109	5
16.1	15.3	1.11	1	14.3	10.5	48.3	1762	4.22	20.5	50.9	5
34	29.4	3.22	2.76	9.14	19.1	30	441	20	45.7	13.6	5
14.3	16.8	1.81	5.73	27.6	12.9	33.7	523	47.8	106	58.8	5
68.5	28.6	1.86	1.91	1	20.5	41.4	305	26.4	58.8	32.5	5
63.2	29.2	2.46	1.91	1.42	25.7	54.7	337	33.1	79.1	31.6	5
100	57.3	6.21	1.24	26.7	23.5	34.6	308	12.7	22.5	2.07	5
103	41.4	6.04	10.5	12.9	5.73	22.1	500	21.1	44.1	24.4	5
62.1	22.5	10.7	1.68	17.5	91.4	165	470	11.9	25.9	15.3	5
81.3	47.4	1.08	1	9.06	7.64	35.2	743	19.3	39.6	21.3	5
69.8	19.6	1	7.7	16	74.3	161	737	12.9	32.5	13.7	5
42.9	20.9	4.7	1.25	26.2	24.1	65.5	806	3.16	12.6	85.8	5
72.3	75	3	1.98	6.55	54.2	118	1027	27.9	67.3	27.1	5
47.8	18.9	6.85	5.23	2.94	35.5	74.3	906	24.4	71.7	19.6	5
73	40	5.73	1.01	31.6	34	84.3	1685	3.55	30	93.1	5
46.1	35.9	11.3	1.27	11.9	37.2	97.3	764	17.2	42.2	11.7	5
9.47	4.57	1.47	5.05	4.18	311	644	1946	13.1	30.2	13.3	5
75	28.4	6.67	7.17	18.4	13.2	139	132	17.5	39.6	8.74	5
25.9	42.2	2.86	1.01	21.3	11	25.9	429	25	43.3	5.47	5
40	30.5	10.6	35.2	34.3	33.7	95.6	2666	24.8	42.6	13.1	5
51.9	17.8	1	1.01	10.3	36.2	72.3	2091	8.2	17.3	32.8	5
95.6	61.5	11.2	1.01	38.5	18.4	53.8	483	3.34	8.28	40.7	5
49.6	18.1	10.9	2.33	25	20.2	35.2	355	13.8	25.9	7.91	5
359	365	13.3	1	32.2	11.2	20.4	491	13.5	39.2	13.6	5
71	47.4	2.97	3.11	16.5	27.6	35.2	241	1	68.5	4.29	5
62.1	37.9	1.5	1	10.4	67.3	135	730	11.1	21.7	8.2	5
4.18	21.9	4.49	2.23	15.4	46.6	97.3	2035	21.7	45.3	19.1	5
14.2	7.1	10.6	4.14	9.91	34	55.2	308	21.5	64.4	21.7	5
73	22.1	9.31	1.01	12.4	28.4	38.2	349	13.7	31.3	17.2	5
23.9	22.5	2.27	2.57	13.8	46.6	82.8	588	1.7	53.8	2	5
15.7	16.3	5.38	93.9	22.7	32.5	66.1	655	42.2	107	34.6	5
36.2	39.6	1.86	5.42	1	40.3	101	1219	35.2	77	32.2	5
69.8	21.9	9.47	1.01	17.3	24.6	61	297	9.73	28.9	13.1	5
48.3	19.1	5.83	1.01	16.4	41.4	130	799	30.5	55.2	25	5
138	125	6.85	2.55	9.31	9.06	5.38	133	18.9	38.5	3.4	5
62.1	39.2	4.66	3.37	8.13	28.1	69.2	1275	28.4	50.9	14.2	5
63.8	24.1	1.01	3.13	26.7	15.5	73.7	2110	1	2.94	3.16	5
95.6	52.3	5.99	1	30.8	6.38	20.2	26.4	23.7	31.6	29.2	5
7.84	26.2	10	8.43	16.7	7.37	14.6	248	13.2	23.1	30.5	5
50	17.3	1	3.34	20.7	14.9	34	316	18.1	52.8	33.4	5
12	12.4	4.66	1	3.08	26.7	65.5	982	30.5	38.2	9.31	5
71.7	30.5	11.8	1.01	16	34	58.8	567	24.1	50	23.3	5
17.8	24.6	1.23	1.01	13	8.82	23.5	843	11.3	44.9	86.6	5
34.3	30	1	1	19.8	58.8	114	882	23.3	56.7	44.1	5
27.1	24.8	14.6	2.39	23.9	12.3	71	1420	2.33	22.9	77	5
55.7	34.9	1.75	3.92	5.62	44.5	79.9	1055	26.9	45.7	17.5	5
70.4	32.8	1.04	1.88	8.74	20.4	43.3	730	12.4	21.3	1	5
54.7	28.1	1.15	4.61	26.4	28.1	46.1	375	51.9	67.9	1.67	5
30.2	24.6	6.67	1.79	1	20.5	43.3	491	2.29	6.85	4.18	5
7.43	29.4	8.51	1.42	4.78	37.9	97.3	1700	6.73	12.6	5.52	5
42.2	40	3.96	1	13.2	29.4	47	474	25.5	47.4	21.9	5
29.4	22.1	3.85	3.68	7.04	29.4	73.7	1176	10.1	25.7	14.2	5
130	117	7.77	1.06	27.1	34.6	58.8	418	3.46	20	95.6	5
97.3	51.4	7.91	2.05	13.6	14.1	29.4	491	91.4	139	28.1	5
77	91.4	1.54	1	17.6	31.1	36.5	316	14.9	36.8	8.58	5
26.2	15.5	7.7	3.79	17.5	14.7	36.2	372	7.17	8.66	1	5
44.1	15.3	3.43	2.41	5.88	17.5	43.3	349	35.5	83.5	37.9	5
61	32.2	3.22	1	11.3	22.7	45.7	281	9.31	18.4	5.52	5
82.8	50.5	8.2	1.96	18.1	32.8	55.2	422	18.1	33.1	13	5
120	35.9	4.91	2.97	16.7	18.8	34	372	16	34	6.04	5
51.9	46.1	13.2	1.01	18.4	6.73	13	474	24.4	50.5	77.7	5
18.4	18.1	6.49	1	9.73	8.2	25.3	547	8.35	25.5	2.44	5
154	53.8	6.44	1	6.21	33.7	57.8	1165	13.9	13.8	6.92	5
